Edad,Sexo,Estatura,Peso,DiasDeporte
34,hombre,164.7,87.4,0
4,hombre,105.4,17,0
49,mujer,168.4,86.7,0
9,hombre,133.1,29.8,0
8,hombre,130.6,35.2,0
45,mujer,166.7,67.7,5
66,hombre,169.5,56.7,7
58,hombre,181.9,69.8,5
54,hombre,169.4,73.1,1
10,mujer,141.8,38.6,0
58,mujer,148.1,53.7,2
50,hombre,177.8,71.5,7
9,mujer,139.2,53.1,0
33,hombre,181.3,93.8,0
60,hombre,169.9,74.6,0
16,hombre,172,67.7,3
56,mujer,170.7,44.1,7
57,mujer,157.1,46.2,3
54,hombre,177.1,108.9,3
38,hombre,180.9,117.3,0
8,hombre,128.4,40.1,0
36,hombre,174.7,75.4,2
44,hombre,165.9,86.5,0
64,mujer,152,55.2,4
26,mujer,175.8,63.3,1
59,mujer,145.1,54.3,0
49,hombre,173.4,75.2,7
51,mujer,163.8,71.3,6
17,hombre,176,68.9,2
12,hombre,158.9,46.5,7
16,hombre,183.3,80.3,5
28,hombre,175.3,78.2,0
37,mujer,154.8,42.9,5
28,mujer,169.6,134.3,0
32,hombre,173,55.4,3
25,hombre,178.6,78.6,4
21,mujer,166.5,103.5,0
8,hombre,125.6,24.6,0
44,hombre,182,77.7,4
56,hombre,170.6,72.7,0
78,mujer,151,51.6,0
3,hombre,89.9,11.6,0
58,mujer,167.2,102.5,2
1,hombre,NA,12.1,0
13,mujer,157.6,35.2,5
27,mujer,165.5,69.9,0
31,mujer,149.7,64.9,0
29,mujer,164.4,82.6,3
11,mujer,153.8,43.4,0
6,mujer,112.9,20.7,0
56,mujer,154.3,62.7,3
16,mujer,158.4,48.7,0
30,hombre,186.2,120.5,3
26,mujer,162,62.7,3
30,hombre,175.8,88.4,0
54,mujer,160.1,44.5,6
29,hombre,174.5,84.3,5
17,hombre,181.5,94.4,5
9,mujer,146.7,59.7,0
80,mujer,156.7,66.9,0
13,hombre,173.7,70.4,2
50,hombre,169,80,3
26,hombre,171,62.900000000000006,2
58,hombre,179.2,94,0
80,hombre,169.6,51.4,0
35,mujer,169.8,51.4,4
7,hombre,129.6,25.5,0
8,mujer,139.4,33.5,0
12,mujer,152.5,37.7,3
80,hombre,167.5,95.5,0
66,mujer,155.2,68.9,0
34,mujer,173.8,71.9,3
38,hombre,174.5,78.9,0
2,hombre,88.3,13.3,0
50,mujer,155.1,93.2,3
43,hombre,185,136.3,0
41,mujer,176.9,91.1,0
